Heptano,
% T,Número de ondas
"4,000.00",100.215621
"3,999.00",100.179966
"3,998.00",100.090273
"3,997.00",99.983289
"3,996.00",99.899086
"3,995.00",99.853045
"3,994.00",100.109491
"3,993.00",100.094966
"3,992.00",100.084023
"3,991.00",100.085789
"3,990.00",100.107371
"3,989.00",100.141518
"3,988.00",100.173086
"3,987.00",100.192106
"3,986.00",100.202037
"3,985.00",100.213428
"3,984.00",100.231524
"3,983.00",100.249693
"3,982.00",100.25482
"3,981.00",100.236032
"3,980.00",100.188439
"3,979.00",100.116147
"3,978.00",100.034774
"3,977.00",99.96613
"3,976.00",99.925591
"3,975.00",99.912346
"3,974.00",99.915312
"3,973.00",99.926771
"3,972.00",99.947332
"3,971.00",99.981267
"3,970.00",100.027143
"3,969.00",100.073957
"3,968.00",100.104585
"3,967.00",100.104928
"3,966.00",100.074796
"3,965.00",100.03019
"3,964.00",99.993429
"3,963.00",99.97837
"3,962.00",99.983905
"3,961.00",99.998334
"3,960.00",100.010986
"3,959.00",100.01984
"3,958.00",100.025426
"3,957.00",100.025579
"3,956.00",100.017372
"3,955.00",100.000988
"3,954.00",99.981574
"3,953.00",99.962031
"3,952.00",99.939683
"3,951.00",99.913891
"3,950.00",99.892247
"3,949.00",99.884851
"3,948.00",99.894946
"3,947.00",99.926257
"3,946.00",99.987964
"3,945.00",100.075489
"3,944.00",100.159863
"3,943.00",100.200108
"3,942.00",100.177912
"3,941.00",100.120064
"3,940.00",100.069122
"3,939.00",100.042043
"3,938.00",100.024473
"3,937.00",99.999282
"3,936.00",99.964625
"3,935.00",99.923539
"3,934.00",99.880155
"3,933.00",99.848967
"3,932.00",99.85434
"3,931.00",99.898874
"3,930.00",99.956825
"3,929.00",100.013247
"3,928.00",100.06435
"3,927.00",100.091916
"3,926.00",100.070529
"3,925.00",100.009302
"3,924.00",99.950078
"3,923.00",99.919559
"3,922.00",99.906398
"3,921.00",99.882686
"3,920.00",99.839792
"3,919.00",99.806045
"3,918.00",99.816833
"3,917.00",99.866331
"3,916.00",99.919563
"3,915.00",99.960401
"3,914.00",99.997081
"3,913.00",100.036065
"3,912.00",100.072902
"3,911.00",100.105049
"3,910.00",100.13106
"3,909.00",100.138331
"3,908.00",100.094738
"3,907.00",99.961712
"3,906.00",99.738362
"3,905.00",99.489751
"3,904.00",99.304701
"3,903.00",99.222653
"3,902.00",99.230315
"3,901.00",99.30253
"3,900.00",99.411233
"3,899.00",99.51856
"3,898.00",99.598335
"3,897.00",99.640961
